entity_id,state,last_changed
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5B 02 27 5C 01 0C 08 0D 13,2025-12-08T13:25:23.874Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5A 02 27 5B 01 0C 08 0D 13,2025-12-08T13:25:28.878Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5A 02 27 5C 01 0C 08 0D 13,2025-12-08T13:25:33.886Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5A 02 27 5B 01 0C 08 0D 13,2025-12-08T13:25:38.903Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5A 02 27 5C 01 0C 08 0D 13,2025-12-08T13:25:43.975Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 59 02 27 5B 01 0C 08 0D 13,2025-12-08T13:25:53.893Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5A 02 27 5C 01 0C 08 0D 13,2025-12-08T13:26:03.894Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 59 02 27 5C 01 0C 08 0D 13,2025-12-08T13:26:08.908Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 59 02 27 5B 01 0C 08 0D 13,2025-12-08T13:26:13.978Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5A 02 27 5C 01 0C 08 0D 13,2025-12-08T13:26:18.942Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 5A 02 27 5C 01 0C 08 0D 14,2025-12-08T13:26:23.907Z
